ida_ea	name	gate	result	session	date	source_ref	detail
0x00899150	?GetNumBytes@MemoryUnitManager@@SAIXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663954-1663958;src/game/platform_xbox/MemoryUnit.cpp:126-129	Release returns mNumBytes; source returns the same static.
0x00899150	?GetNumBytes@MemoryUnitManager@@SAIXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663954-1663958;src/game/platform_xbox/MemoryUnit.cpp:126-129	Exact release/source getter behavior.
0x00899200	?GetTotalBytes@Container@MemoryUnitManager@@QAEHXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663986-1664006;src/game/platform_xbox/MemoryUnit.cpp:154-169	Release sums the first mIndex byte counts; source uses the same loop and accumulator.
0x00899200	?GetTotalBytes@Container@MemoryUnitManager@@QAEHXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1663986-1664006;src/game/platform_xbox/MemoryUnit.cpp:154-169	Exact release/source summation behavior.
0x00899220	?GetNumFiles@Container@MemoryUnitManager@@QBEHXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664008-1664012;src/game/platform_xbox/MemoryUnit.cpp:172-175	Release returns mIndex; source returns the same field.
0x00899220	?GetNumFiles@Container@MemoryUnitManager@@QBEHXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664008-1664012;src/game/platform_xbox/MemoryUnit.cpp:172-175	Exact release/source getter behavior.
0x00899230	?GetFile@Container@MemoryUnitManager@@QAEPAEH@Z	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664014-1664018;src/game/platform_xbox/MemoryUnit.cpp:178-181	Release returns mBuffers[idx]; source returns the same indexed buffer.
0x00899230	?GetFile@Container@MemoryUnitManager@@QAEPAEH@Z	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664014-1664018;src/game/platform_xbox/MemoryUnit.cpp:178-181	Exact release/source indexed getter behavior.
0x008992C0	?GetCurrentOperation@MemoryUnitManager@@SA?AW4eOperation@1@XZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664044-1664048;src/game/platform_xbox/MemoryUnit.cpp:204-207	Release returns mCurrentOperation; source returns the same static.
0x008992C0	?GetCurrentOperation@MemoryUnitManager@@SA?AW4eOperation@1@XZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664044-1664048;src/game/platform_xbox/MemoryUnit.cpp:204-207	Exact release/source getter behavior.
0x00899330	?GetDisplayString@MemoryUnitManager@@SAPBDXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664079-1664091;src/game/platform_xbox/MemoryUnit.cpp:231-239	Release returns defaultFileName outside the valid device range and otherwise the indexed display string; source matches.
0x00899330	?GetDisplayString@MemoryUnitManager@@SAPBDXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664079-1664091;src/game/platform_xbox/MemoryUnit.cpp:231-239	Exact release/source range check and return paths.
0x00899360	?FindFirstMemoryUnit@MemoryUnitManager@@SAHXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664093-1664102;src/game/platform_xbox/MemoryUnit.cpp:242-248	Release returns -1 when no units are available, otherwise storageDevices[0]; source matches.
0x00899360	?FindFirstMemoryUnit@MemoryUnitManager@@SAHXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664093-1664102;src/game/platform_xbox/MemoryUnit.cpp:242-248	Exact release/source return paths.
0x00899390	?FindNextMemoryUnit@MemoryUnitManager@@SAHXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664104-1664124;src/game/platform_xbox/MemoryUnit.cpp:251-266	Release enumerates available devices, wraps at the last, and returns the first greater device; source matches.
0x00899390	?FindNextMemoryUnit@MemoryUnitManager@@SAHXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664104-1664124;src/game/platform_xbox/MemoryUnit.cpp:251-266	Exact release/source enumeration and wrap behavior.
0x008993E0	?FindPrevMemoryUnit@MemoryUnitManager@@SAHXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664126-1664147;src/game/platform_xbox/MemoryUnit.cpp:269-286	Release enumerates available devices, wraps at the first, and returns the first lower device; source matches.
0x008993E0	?FindPrevMemoryUnit@MemoryUnitManager@@SAHXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664126-1664147;src/game/platform_xbox/MemoryUnit.cpp:269-286	Exact release/source reverse enumeration and wrap behavior.
0x008994C0	?FormatSync@MemoryUnitManager@@SA?AW4eStatus@1@XZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664182-1664191;src/game/platform_xbox/MemoryUnit.cpp:322-330	Release calls Format, services while pending, and returns mLastError; source matches.
0x008994C0	?FormatSync@MemoryUnitManager@@SA?AW4eStatus@1@XZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664182-1664191;src/game/platform_xbox/MemoryUnit.cpp:322-330	Exact release/source synchronous format behavior.
0x00899680	?peripheralsGetVersion@@YAIXZ	V3	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664279-1664283;src/game/platform_xbox/MemoryUnit.cpp:391-394	Release returns the constant 1792; source returns the same value.
0x00899680	?peripheralsGetVersion@@YAIXZ	V4	PASS	memoryunit-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1664279-1664283;src/game/platform_xbox/MemoryUnit.cpp:391-394	Exact release/source constant return.
