check	type	field	expected	source	line	status
sizeof	apsZHemisphereDomain		0x20	src\aeps\apsSuppliedDomains.h	87	COMPILE_ASSERT_PRESENT
sizeof	apsSphereSurfaceDomain		0x20	src\aeps\apsSuppliedDomains.h	103	COMPILE_ASSERT_PRESENT
sizeof	apsLineDomain		0x30	src\aeps\apsSuppliedDomains.h	122	COMPILE_ASSERT_PRESENT
sizeof	apsDiscDomain		0x40	src\aeps\apsSuppliedDomains.h	142	COMPILE_ASSERT_PRESENT
sizeof	apsCircleDomain		0x40	src\aeps\apsSuppliedDomains.h	161	COMPILE_ASSERT_PRESENT
sizeof	apsUVARectangleNode		0xC0	src\aeps\apsUVARectangleRenderer.h	21	COMPILE_ASSERT_PRESENT
sizeof	apsUVARectangleRenderer		0x90	src\aeps\apsUVARectangleRenderer.h	37	COMPILE_ASSERT_PRESENT
sizeof	apsUVANode		0xC0	src\aeps\apsUVARenderer.h	22	COMPILE_ASSERT_PRESENT
sizeof	apsUVARenderer		0x90	src\aeps\apsUVARenderer.h	47	COMPILE_ASSERT_PRESENT
sizeof	SpriteVertex		0x18	src\aeps\apsVertexBuffer.h	31	COMPILE_ASSERT_PRESENT
sizeof	nalCachedPoseInfo		8	src\animation\nal.cpp	543	COMPILE_ASSERT_PRESENT
sizeof	nalCachedLODInfo		4	src\animation\nal.cpp	549	COMPILE_ASSERT_PRESENT
sizeof	tlFileBuf		12	src\animation\nal.cpp	563	COMPILE_ASSERT_PRESENT
sizeof	nalAnimFileHeader		72	src\animation\nal.cpp	577	COMPILE_ASSERT_PRESENT
sizeof	nalAnimFile		72	src\animation\nal.cpp	582	COMPILE_ASSERT_PRESENT
sizeof	nalAnimHeap		12	src\animation\nal.cpp	617	COMPILE_ASSERT_PRESENT
sizeof	nalBaseSkeleton		96	src\animation\nal.cpp	674	COMPILE_ASSERT_PRESENT
sizeof	nalBasePose		8	src\animation\nal.cpp	722	COMPILE_ASSERT_PRESENT
sizeof	nalAnimClass<nalAnyPose>::nalInstanceClass		20	src\animation\nal.cpp	915	COMPILE_ASSERT_PRESENT
sizeof	nalAnimClass<nalAnyPose>		64	src\animation\nal.cpp	917	COMPILE_ASSERT_PRESENT
sizeof	nalIKSpin		96	src\animation\nal.cpp	1199	COMPILE_ASSERT_PRESENT
sizeof	nalMatrix3x3		0x30	src\animation\nal.cpp	1259	COMPILE_ASSERT_PRESENT
sizeof	nalGenericBoneHandle		8	src\animation\nal.cpp	1418	COMPILE_ASSERT_PRESENT
sizeof	nalLOD		16	src\animation\nal.cpp	1434	COMPILE_ASSERT_PRESENT
sizeof	nalObject		32	src\animation\nal.cpp	1447	COMPILE_ASSERT_PRESENT
sizeof	nalAnimCache		28	src\animation\nal.cpp	1470	COMPILE_ASSERT_PRESENT
sizeof	nalGenericPose		16	src\animation\nal.cpp	1773	COMPILE_ASSERT_PRESENT
sizeof	nalOffsetMap		20	src\animation\nal.cpp	1782	COMPILE_ASSERT_PRESENT
sizeof	nalLODInfo		20	src\animation\nal.cpp	1794	COMPILE_ASSERT_PRESENT
sizeof	nalBoneInfo		48	src\animation\nal.cpp	1804	COMPILE_ASSERT_PRESENT
sizeof	nalTrackInfo		40	src\animation\nal.cpp	1811	COMPILE_ASSERT_PRESENT
sizeof	nalComponentInfo		48	src\animation\nal.cpp	1820	COMPILE_ASSERT_PRESENT
sizeof	nalGenericSkeleton		224	src\animation\nal.cpp	1922	COMPILE_ASSERT_PRESENT
sizeof	nalGenericAnim		112	src\animation\nal.cpp	2200	COMPILE_ASSERT_PRESENT
sizeof	nalGenericInstance		48	src\animation\nal.cpp	2236	COMPILE_ASSERT_PRESENT
sizeof	nalInitListAnimType		0x30	src\animation\nal.cpp	3171	COMPILE_ASSERT_PRESENT
sizeof	nalComponentInitList		0x10	src\animation\nal.cpp	3215	COMPILE_ASSERT_PRESENT
sizeof	nalSceneAnimChunkHeader		12	src\animation\nal.cpp	3258	COMPILE_ASSERT_PRESENT
sizeof	nalSceneAnimHeader		80	src\animation\nal.cpp	3274	COMPILE_ASSERT_PRESENT
sizeof	nalSceneAnim		80	src\animation\nal.cpp	3291	COMPILE_ASSERT_PRESENT
sizeof	nalClientAnimNode		16	src\animation\nal.cpp	3336	COMPILE_ASSERT_PRESENT
sizeof	nalSceneAnimInstance		28	src\animation\nal.cpp	3372	COMPILE_ASSERT_PRESENT
sizeof	nalStreamInstance		124	src\animation\nal.cpp	3456	COMPILE_ASSERT_PRESENT
sizeof	nalStaticInstance		32	src\animation\nal.cpp	3551	COMPILE_ASSERT_PRESENT
sizeof	InteractionController		0x210	src\animation\nal.cpp	6990	COMPILE_ASSERT_PRESENT
sizeof	nalComponentSignalCounter		4	src\animation\nal.cpp	11488	COMPILE_ASSERT_PRESENT
sizeof	nalComponentRLE8Int1		4	src\animation\nal.cpp	11490	COMPILE_ASSERT_PRESENT
sizeof	nalPosition16		6	src\animation\nal.cpp	11738	COMPILE_ASSERT_PRESENT
sizeof	nalComponentPacked16EntropyIKSpinData::SkeletonComponentData		20	src\animation\nal.cpp	12809	COMPILE_ASSERT_PRESENT
sizeof	nalComponentPacked16EntropyIKSpinData::AnimData		4	src\animation\nal.cpp	12811	COMPILE_ASSERT_PRESENT
sizeof	nalComponentPacked16EntropyIKSpinData::AnimComponentData		1	src\animation\nal.cpp	12813	COMPILE_ASSERT_PRESENT
sizeof	nalComponentPacked16EntropyIKSpinData::CacheType		26	src\animation\nal.cpp	12815	COMPILE_ASSERT_PRESENT
sizeof	nalRLEDecoder<unsigned char>		8	src\animation\nal.cpp	21936	COMPILE_ASSERT_PRESENT
