obj	rows	V0	V1	V2	V3	V4	V5
ngl_mesh.o	33	21	1	11	0	0	0
ngl_meshedit.o	9	0	0	9	0	0	0
ngl_morph.o	12	5	0	7	0	0	0
ngl_quad.o	20	3	0	17	0	0	0
ngl_scene.o	150	149	0	1	0	0	0
ngl_scenedump.o	7	0	0	7	0	0	0
ngl_texture.o	11	3	0	8	0	0	0
ngl_xb_internal.o	2	1	0	1	0	0	0
ngl_xb_palette.o	13	4	0	9	0	0	0
ngl_xb_tex_load.o	2	0	0	2	0	0	0
nslAram.o	9	9	0	0	0	0	0
nslCompat.o	21	5	0	16	0	0	0
nslDriverXBOXDSOUND.o	56	43	0	13	0	0	0
nslGroup.o	8	0	0	8	0	0	0
nslInit.o	7	1	0	6	0	0	0
nslListener.o	7	0	0	7	0	0	0
nslMaster.o	16	0	0	16	0	0	0
nslMemory.o	2	2	0	0	0	0	0
nslPriority.o	7	0	0	7	0	0	0
nslSource.o	69	2	1	66	0	0	0
nslUpdate.o	2	0	0	2	0	0	0
nslVoice.o	5	0	0	5	0	0	0
nslWave.o	15	0	0	15	0	0	0
nslWaveBank.o	48	10	0	38	0	0	0
nslWaveBankFixup.o	1	0	0	1	0	0	0
nslWaveBankLoader.o	5	3	0	2	0	0	0
nslWaveBankSort.o	3	0	0	3	0	0	0
nvl_afmv.o	32	32	0	0	0	0	0
nvl_base.o	23	23	0	0	0	0	0
nvl_xbox.o	11	11	0	0	0	0	0
phys_collision.o	24	15	6	3	0	0	0
phys_constraint_solver_multithreaded.o	184	150	29	5	0	0	0
phys_contact_manifold.o	26	8	12	6	0	0	0
phys_gjk.o	37	32	3	2	0	0	0
phys_util.o	11	3	8	0	0	0	0
physics.o	747	484	23	240	0	0	0
physics_system.o	313	291	20	2	0	0	0
physics_system_internal.o	154	118	27	9	0	0	0
rb_ragdoll_model.o	92	63	14	15	0	0	0
rbc_def_contact.o	14	9	4	1	0	0	0
rbc_def_custom.o	4	2	0	2	0	0	0
rbc_def_generic.o	26	9	5	12	0	0	0
rbc_def_ragdoll.o	38	19	5	14	0	0	0
rbc_def_vehicle.o	46	33	6	7	0	0	0
render.o	1038	707	2	329	0	0	0
rigid_body.o	13	5	1	7	0	0	0
scr.o	1540	660	34	842	0	4	0
shell.o	2214	989	25	1200	0	0	0
streamer.o	730	399	83	248	0	0	0
sv.o	148	15	7	126	0	0	0
tl_initlist.o	1	1	0	0	0	0	0
tl_instbank.o	9	2	0	7	0	0	0
tl_system.o	25	9	0	16	0	0	0
trees.o	5	5	0	0	0	0	0
tx.o	5	5	0	0	0	0	0
txPath.o	11	11	0	0	0	0	0
txSlotPool.o	15	15	0	0	0	0	0
tx_tl.o	8	8	0	0	0	0	0
uncompr.o	1	1	0	0	0	0	0
unzip.o	18	18	0	0	0	0	0
zutil.o	5	5	0	0	0	0	0
